,ask_p_0,ask_p_1,ask_p_2,ask_p_3,ask_p_4,ask_p_5,ask_p_6,ask_p_7,ask_p_8,ask_p_9,ask_vol_0,ask_vol_1,ask_vol_2,ask_vol_3,ask_vol_4,ask_vol_5,ask_vol_6,ask_vol_7,ask_vol_8,ask_vol_9,bid_p_0,bid_p_1,bid_p_2,bid_p_3,bid_p_4,bid_p_5,bid_p_6,bid_p_7,bid_p_8,bid_p_9,bid_vol_0,bid_vol_1,bid_vol_2,bid_vol_3,bid_vol_4,bid_vol_5,bid_vol_6,bid_vol_7,bid_vol_8,bid_vol_9
0,6387.5,6388.0,6388.5,6389.0,6389.5,6390.0,6390.5,6391.0,6391.5,6392.0,185603.0,555615.0,453754.0,186674.0,103530.0,242533.0,131301.0,216207.0,212119.0,381088.0,6387.0,6386.5,6386.0,6385.5,6385.0,6384.5,6384.0,6383.5,6383.0,6382.5,1853710.0,401280.0,485003.0,1020949.0,319274.0,1505506.0,106012.0,201497.0,255123.0,178431.0
1,6387.5,6388.0,6388.5,6389.0,6389.5,6390.0,6390.5,6391.0,6391.5,6392.0,536190.0,543779.0,489917.0,186736.0,67988.0,242583.0,131331.0,216057.0,212175.0,381005.0,6387.0,6386.5,6386.0,6385.5,6385.0,6384.5,6384.0,6383.5,6383.0,6382.5,1946513.0,295938.0,485419.0,1020299.0,327580.0,1505506.0,134359.0,166824.0,237448.0,155190.0
2,6387.5,6388.0,6388.5,6389.0,6389.5,6390.0,6390.5,6391.0,6391.5,6392.0,569457.0,542714.0,491795.0,186741.0,67293.0,242583.0,132453.0,216107.0,212946.0,433005.0,6387.0,6386.5,6386.0,6385.5,6385.0,6384.5,6384.0,6383.5,6383.0,6382.5,1716081.0,307974.0,392464.0,1020850.0,253735.0,1505506.0,122693.0,178490.0,236048.0,173790.0
3,6387.5,6388.0,6388.5,6389.0,6389.5,6390.0,6390.5,6391.0,6391.5,6392.0,578402.0,480325.0,494940.0,185773.0,67328.0,242583.0,132474.0,216107.0,212946.0,432005.0,6387.0,6386.5,6386.0,6385.5,6385.0,6384.5,6384.0,6383.5,6383.0,6382.5,1718712.0,310148.0,365531.0,1044030.0,249435.0,1528859.0,101861.0,190956.0,196450.0,183569.0
4,6387.5,6388.0,6388.5,6389.0,6389.5,6390.0,6390.5,6391.0,6391.5,6392.0,628378.0,373577.0,458942.0,185775.0,67330.0,254249.0,144140.0,216107.0,224612.0,426172.0,6387.0,6386.5,6386.0,6385.5,6385.0,6384.5,6384.0,6383.5,6383.0,6382.5,1690237.0,312148.0,357145.0,1043982.0,249035.0,1517159.0,113829.0,190956.0,216550.0,182569.0
5,6387.5,6388.0,6388.5,6389.0,6389.5,6390.0,6390.5,6391.0,6391.5,6392.0,783280.0,327248.0,458945.0,237807.0,67367.0,265915.0,144140.0,216107.0,212946.0,373564.0,6387.0,6386.5,6386.0,6385.5,6385.0,6384.5,6384.0,6383.5,6383.0,6382.5,1630955.0,312185.0,354619.0,1044132.0,196635.0,1528793.0,99630.0,190956.0,216362.0,182473.0
6,6387.5,6388.0,6388.5,6389.0,6389.5,6390.0,6390.5,6391.0,6391.5,6392.0,765113.0,326725.0,457946.0,236808.0,67368.0,265915.0,144140.0,217107.0,212946.0,373564.0,6387.0,6386.5,6386.0,6385.5,6385.0,6384.5,6384.0,6383.5,6383.0,6382.5,1625930.0,312185.0,329659.0,1045132.0,241479.0,1527793.0,99630.0,174232.0,218468.0,181197.0
7,6387.5,6388.0,6388.5,6389.0,6389.5,6390.0,6390.5,6391.0,6391.5,6392.0,765113.0,326735.0,457926.0,236808.0,79034.0,254249.0,144140.0,228773.0,218779.0,356065.0,6387.0,6386.5,6386.0,6385.5,6385.0,6384.5,6384.0,6383.5,6383.0,6382.5,1626562.0,306352.0,334970.0,1021790.0,241479.0,1516127.0,125362.0,150100.0,241800.0,193663.0
8,6387.5,6388.0,6388.5,6389.0,6389.5,6390.0,6390.5,6391.0,6391.5,6392.0,955271.0,326740.0,454899.0,236844.0,68378.0,254249.0,144140.0,217107.0,224612.0,383564.0,6387.0,6386.5,6386.0,6385.5,6385.0,6384.5,6384.0,6383.5,6383.0,6382.5,1661825.0,333052.0,332069.0,1024290.0,240879.0,1504461.0,125312.0,161766.0,235800.0,185463.0
9,6387.5,6388.0,6388.5,6389.0,6389.5,6390.0,6390.5,6391.0,6391.5,6392.0,1027264.0,326742.0,454751.0,184996.0,120399.0,254249.0,144140.0,217107.0,894612.0,383564.0,6387.0,6386.5,6386.0,6385.5,6385.0,6384.5,6384.0,6383.5,6383.0,6382.5,1561333.0,318212.0,324069.0,1016290.0,238179.0,1504461.0,125312.0,161766.0,233600.0,238463.0
10,6387.5,6388.0,6388.5,6389.0,6389.5,6390.0,6390.5,6391.0,6391.5,6392.0,1022281.0,326763.0,453751.0,185996.0,120549.0,254249.0,144140.0,216907.0,894612.0,383364.0,6387.0,6386.5,6386.0,6385.5,6385.0,6384.5,6384.0,6383.5,6383.0,6382.5,1561332.0,318212.0,326569.0,1016290.0,238179.0,1498461.0,125312.0,150100.0,237301.0,229463.0
11,6387.5,6388.0,6388.5,6389.0,6389.5,6390.0,6390.5,6391.0,6391.5,6392.0,1281904.0,331771.0,455578.0,193000.0,120594.0,242583.0,146905.0,215907.0,882946.0,389197.0,6387.0,6386.5,6386.0,6385.5,6385.0,6384.5,6384.0,6383.5,6383.0,6382.5,1624631.0,313361.0,320042.0,989114.0,213083.0,1498461.0,125312.0,161766.0,215835.0,232238.0
12,6387.5,6388.0,6388.5,6389.0,6389.5,6390.0,6390.5,6391.0,6391.5,6392.0,1512827.0,330773.0,456925.0,193002.0,68302.0,242583.0,146905.0,216907.0,882946.0,392197.0,6387.0,6386.5,6386.0,6385.5,6385.0,6384.5,6384.0,6383.5,6383.0,6382.5,1468249.0,301695.0,458094.0,869114.0,212483.0,1510127.0,113646.0,161766.0,215010.0,192704.0
13,6387.5,6388.0,6388.5,6389.0,6389.5,6390.0,6390.5,6391.0,6391.5,6392.0,1515734.0,330775.0,456927.0,193004.0,78598.0,242583.0,136905.0,216907.0,882946.0,392197.0,6387.0,6386.5,6386.0,6385.5,6385.0,6384.5,6384.0,6383.5,6383.0,6382.5,1465254.0,301695.0,458094.0,869114.0,212483.0,1510127.0,113646.0,160490.0,215010.0,192704.0
14,6387.5,6388.0,6388.5,6389.0,6389.5,6390.0,6390.5,6391.0,6391.5,6392.0,1510146.0,328888.0,456919.0,193006.0,90266.0,255249.0,136905.0,200355.0,897612.0,401918.0,6387.0,6386.5,6386.0,6385.5,6385.0,6384.5,6384.0,6383.5,6383.0,6382.5,1471843.0,301729.0,450623.0,863281.0,215016.0,1010127.0,113646.0,160490.0,195760.0,192704.0
15,6387.5,6388.0,6388.5,6389.0,6389.5,6390.0,6390.5,6391.0,6391.5,6392.0,1580717.0,330859.0,456890.0,190522.0,97171.0,265383.0,136905.0,212021.0,916212.0,378586.0,6387.0,6386.5,6386.0,6385.5,6385.0,6384.5,6384.0,6383.5,6383.0,6382.5,1380266.0,301737.0,448044.0,862281.0,198316.0,498461.0,113646.0,172156.0,189184.0,173572.0
